allergen,ingredient_name,source_type,matched_rows,target_allergen_rows,non_target_rows,target_precision_pct,mentions_total,prevalence_pct,source_origin
Fish,Salmon,existing,488,130,358,26.64,655,0.1869,Salmon
Fish,Anchovies,expanded_manual,367,122,245,33.24,383,0.1406,manual_expansion_seed
Fish,Tuna,existing,751,121,630,16.11,1064,0.2877,Tuna
Fish,Cod,existing,443,115,328,25.96,460,0.1697,Cod
Fish,Fish Protein,expanded_manual,857,104,753,12.14,866,0.3283,manual_expansion_seed
Fish,Anchovy,existing,358,90,268,25.14,404,0.1371,Anchovy
Fish,Sardines,expanded_manual,49,48,1,97.96,53,0.0188,manual_expansion_seed
Fish,Surimi,existing,377,40,337,10.61,379,0.1444,Surimi (imitation crab)
Fish,Fish stock,existing,44,33,11,75.00,44,0.0169,Fish stock
Fish,Fish sauce,existing,56,30,26,53.57,56,0.0215,Fish sauce
Fish,Haddock,existing,112,29,83,25.89,114,0.0429,Haddock
Fish,Tilapia,existing,206,23,183,11.17,215,0.0789,Tilapia
Fish,Fish oil,existing,28,23,5,82.14,28,0.0107,Fish oil
Fish,Sardine,expanded_manual,22,17,5,77.27,25,0.0084,manual_expansion_seed
Fish,Mackerel,expanded_manual,14,14,0,100.00,14,0.0054,manual_expansion_seed
Fish,Bonito,expanded_manual,25,13,12,52.00,30,0.0096,manual_expansion_seed
Fish,Fish Powder,expanded_manual,15,11,4,73.33,16,0.0057,manual_expansion_seed
Fish,Herring,expanded_manual,39,9,30,23.08,56,0.0149,manual_expansion_seed
Fish,Fish gelatin,existing,26,9,17,34.62,26,0.0100,Fish gelatin
Fish,Sole,existing,73,7,66,9.59,73,0.0280,Sole
Fish,Flounder,existing,137,6,131,4.38,138,0.0525,Flounder
Fish,Trout,existing,5,5,0,100.00,9,0.0019,Trout
Fish,Fish broth,existing,4,4,0,100.00,4,0.0015,Fish broth
Fish,Swordfish,existing,4,4,0,100.00,4,0.0015,Swordfish
Fish,imitation crab Surimi,expanded_parenthetical,10,3,7,30.00,12,0.0038,Surimi (imitation crab)
Fish,Mahi-mahi,existing,15,1,14,6.67,16,0.0057,Mahi-mahi
Fish,Fish Extract,expanded_manual,7,1,6,14.29,7,0.0027,manual_expansion_seed
Fish,Pike,existing,1,1,0,100.00,1,0.0004,Pike
Fish,Snapper,existing,1,1,0,100.00,1,0.0004,Snapper
Fish,Catfish,existing,10,0,10,0.00,10,0.0038,Catfish
Fish,Halibut,existing,3,0,3,0.00,6,0.0011,Halibut
Fish,Pollock Fillet,expanded_manual,3,0,3,0.00,3,0.0011,manual_expansion_seed
Fish,Bass,existing,1,0,1,0.00,1,0.0004,Bass
Fish,Eel,expanded_manual,1,0,1,0.00,1,0.0004,manual_expansion_seed
Crustacean Shellfish,Crab,existing,1073,657,416,61.23,1750,0.4111,Crab
Crustacean Shellfish,Shrimp,existing,1374,523,851,38.06,1877,0.5264,Shrimp
Crustacean Shellfish,Extract,existing,20355,500,19855,2.46,25826,7.7977,"Extract (crab, clam, etc.)"
