allergen,ingredient_name,source_type,matched_rows,target_allergen_rows,non_target_rows,target_precision_pct,mentions_total,prevalence_pct,source_origin
Milk,Milk powder,expanded_parenthetical,3346,1330,2016,39.75,4085,1.2818,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Rennet,existing,1655,1316,339,79.52,2134,0.6340,Rennet
Milk,Whey Powder,expanded_manual,2991,1243,1748,41.56,3098,1.1458,manual_expansion_seed
Milk,sodium caseinate,expanded_parenthetical,2037,1197,840,58.76,2154,0.7803,"Caseinates (all forms, incl. sodium caseinate)"
Milk,Rennet casein,existing,1148,1075,73,93.64,1518,0.4398,Rennet casein
Milk,Milk nonfat,expanded_parenthetical,1993,1036,957,51.98,2020,0.7635,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Whey Protein Isolate,expanded_manual,1980,991,989,50.05,1991,0.7585,manual_expansion_seed
Milk,condensed,expanded_parenthetical,1911,957,954,50.08,2367,0.7321,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Calcium Caseinate,expanded_manual,1192,639,553,53.61,1197,0.4566,manual_expansion_seed
Milk,isolate Whey,expanded_parenthetical,1302,608,694,46.70,1348,0.4988,"Whey (all forms: whey protein concentrate, isolate, hydrolysate)"
Milk,Yogurt,existing,1560,606,954,38.85,2340,0.5976,Yogurt
Milk,Cheese flavor,existing,800,575,225,71.88,856,0.3065,Cheese flavor
Milk,Milk solids,expanded_parenthetical,1549,515,1034,33.25,1796,0.5934,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,low-fat,expanded_parenthetical,757,499,258,65.92,798,0.2900,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,condensed Milk,expanded_parenthetical,1000,496,504,49.60,1220,0.3831,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,evaporated,expanded_parenthetical,1067,495,572,46.39,1184,0.4088,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Butter oil,existing,917,414,503,45.15,968,0.3513,Butter oil
Milk,Ice cream,existing,2126,412,1714,19.38,2128,0.8144,Ice cream
Milk,Artificial butter flavor,existing,829,401,428,48.37,836,0.3176,Artificial butter flavor
Milk,Half-and-half,existing,469,391,78,83.37,469,0.1797,Half-and-half
Milk,Skim Milk Powder,expanded_manual,553,344,209,62.21,676,0.2118,manual_expansion_seed
Milk,powder Milk,expanded_parenthetical,658,334,324,50.76,671,0.2521,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,low-fat Milk,expanded_parenthetical,325,275,50,84.62,333,0.1245,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Diacetyl,existing,484,205,279,42.36,484,0.1854,Diacetyl
Milk,skimmed,expanded_parenthetical,658,204,454,31.00,767,0.2521,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Milk condensed,expanded_parenthetical,342,203,139,59.36,367,0.1310,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Milk whole,expanded_parenthetical,445,187,258,42.02,445,0.1705,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,skimmed Milk,expanded_parenthetical,614,173,441,28.18,718,0.2352,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,evaporated Milk,expanded_parenthetical,217,138,79,63.59,230,0.0831,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Pudding,existing,163,130,33,79.75,186,0.0624,Pudding
Milk,Caseinates,existing,164,128,36,78.05,164,0.0628,"Caseinates (all forms, incl. sodium caseinate)"
Milk,Milk dry,expanded_parenthetical,232,121,111,52.16,232,0.0889,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Butter fat,existing,140,112,28,80.00,162,0.0536,Butter fat
Milk,solids Milk,expanded_parenthetical,220,104,116,47.27,220,0.0843,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Sweet Whey,expanded_manual,201,90,111,44.78,201,0.0770,manual_expansion_seed
Milk,hydrolysate,expanded_parenthetical,59,57,2,96.61,59,0.0226,"Whey (all forms: whey protein concentrate, isolate, hydrolysate)"
Milk,Whey Protein Hydrolysate,expanded_manual,55,54,1,98.18,55,0.0211,manual_expansion_seed
Milk,hydrolysate Whey,expanded_parenthetical,53,53,0,100.00,53,0.0203,"Whey (all forms: whey protein concentrate, isolate, hydrolysate)"
Milk,Milk Solids Nonfat,expanded_manual,90,47,43,52.22,90,0.0345,manual_expansion_seed
Milk,Curds,existing,69,43,26,62.32,69,0.0264,Curds
Milk,Tagatose,existing,46,27,19,58.70,46,0.0176,Tagatose
Milk,Nougat,existing,20,14,6,70.00,20,0.0077,Nougat
Milk,goat's,expanded_parenthetical,25,12,13,48.00,26,0.0096,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,goat's Milk,expanded_parenthetical,25,12,13,48.00,26,0.0096,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Milk low-fat,expanded_parenthetical,12,12,0,100.00,12,0.0046,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Custard,existing,11,11,0,100.00,11,0.0042,Custard
Milk,Ghee,existing,15,10,5,66.67,15,0.0057,Ghee
Milk,Milk skimmed,expanded_parenthetical,39,9,30,23.08,39,0.0149,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,malted Milk,expanded_parenthetical,19,9,10,47.37,24,0.0073,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Milk evaporated,expanded_parenthetical,9,5,4,55.56,9,0.0034,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,protein Milk,expanded_parenthetical,32,4,28,12.50,32,0.0123,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Milk malted,expanded_parenthetical,6,2,4,33.33,6,0.0023,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
