class,class_scope,canonical_id,canonical_name,source_type,alias_count,rows_matched,target_rows,target_precision_pct,mentions_total,source_origin
Egg,big9,egg__dried_egg_solids,Dried egg solids,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:31
Egg,big9,egg__egg_substitutes,Egg substitutes,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:34
Egg,big9,egg__fat_substitutes,Fat substitutes,workbook_existing,3,0,0,0.00,0,Allergen-Ingredient Map:37
Egg,big9,egg__globulin,Globulin,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:38
Egg,big9,egg__livetin,Livetin,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:39
Egg,big9,egg__meringue_powder,Meringue powder,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:42
Egg,big9,egg__ovalbumin,Ovalbumin,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:43
Egg,big9,egg__ovoglobulin,Ovoglobulin,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:44
Egg,big9,egg__ovomucin,Ovomucin,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:45
Egg,big9,egg__ovomucoid,Ovomucoid,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:45
Egg,big9,egg__ovotransferrin,Ovotransferrin,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:46
Egg,big9,egg__ovovitelia,Ovovitelia,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:47
Egg,big9,egg__ovovitellin,Ovovitellin,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:47
Peanut,big9,peanut__peanut_butter,Peanut butter,workbook_existing,1,6967,4567,65.55,7888,Allergen-Ingredient Map:60
Peanut,big9,peanut__arachis_oil,Arachis oil,workbook_existing,3,1445,571,39.52,1586,Allergen-Ingredient Map:49
Peanut,big9,peanut__peanut_flour,Peanut flour,workbook_existing,1,896,513,57.25,1070,Allergen-Ingredient Map:61
Peanut,big9,peanut__mixed_nuts,Mixed nuts,workbook_existing,1,14,8,57.14,14,Allergen-Ingredient Map:56
Peanut,big9,peanut__peanut_meal,Peanut meal,workbook_existing,1,49,3,6.12,49,Allergen-Ingredient Map:61
Peanut,big9,peanut__nut_pieces,Nut pieces,workbook_existing,1,1,1,100.00,1,Allergen-Ingredient Map:59
Peanut,big9,peanut__beer_nuts,Beer nuts,workbook_existing,1,40,0,0.00,40,Allergen-Ingredient Map:51
Peanut,big9,peanut__cold_pressed,Cold pressed,workbook_existing,1,8,0,0.00,8,Allergen-Ingredient Map:52
Peanut,big9,peanut__lupin,Lupin,workbook_existing,4,2,0,0.00,2,Allergen-Ingredient Map:63
Peanut,big9,peanut__lupine,Lupine,workbook_existing,2,1,0,0.00,1,Allergen-Ingredient Map:63
Peanut,big9,peanut__artificial_nuts,Artificial nuts,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:50
Peanut,big9,peanut__expeller_pressed,Expeller pressed,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:52
Peanut,big9,peanut__extruded_peanut_oil,Extruded peanut oil,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:52
