class,class_scope,canonical_id,alias,alias_norm,source_type,source_status,effective_status,active,rows_matched,target_rows,other_labeled_rows,target_precision_pct,target_exclusivity_pct,mentions_total,source_origin,decision_reason
Milk,big9,milk__milk,skimmed,skimmed,workbook_parenthetical,approved,approved,yes,658,204,454,31.00,31.00,767,Allergen-Ingredient Map:17,
Milk,big9,milk__milk,Milk condensed,milk condensed,workbook_parenthetical,approved,approved,yes,342,203,139,59.36,59.36,367,Allergen-Ingredient Map:17,
Milk,big9,milk__milk,Milk whole,milk whole,workbook_parenthetical,approved,approved,yes,445,187,258,42.02,42.02,445,Allergen-Ingredient Map:17,
Milk,big9,milk__pudding,Pudding,pudding,workbook_existing,approved,approved,yes,163,130,33,79.75,79.75,186,Allergen-Ingredient Map:20,
Milk,big9,milk__caseinates,Caseinates,caseinates,workbook_existing,approved,approved,yes,164,128,36,78.05,78.05,164,Allergen-Ingredient Map:4,
Milk,big9,milk__milk,Milk dry,milk dry,workbook_parenthetical,approved,approved,yes,232,121,111,52.16,52.16,232,Allergen-Ingredient Map:17,
Milk,big9,milk__butter_fat,Butter fat,butter fat,workbook_existing,approved,approved,yes,140,112,28,80.00,80.00,162,Allergen-Ingredient Map:2,
Milk,big9,milk__whey,hydrolysate,hydrolysate,workbook_parenthetical,approved,approved,yes,59,57,2,96.61,96.61,59,Allergen-Ingredient Map:26,
Milk,big9,milk__whey_protein_hydrolysate,Whey Protein Hydrolysate,whey protein hydrolysate,manual_seed,approved,approved,yes,55,54,1,98.18,98.18,55,manual_seed,
Milk,big9,milk__whey_protein_hydrolysate,Hydrolyzed Whey Protein,hydrolyzed whey protein,manual_seed,approved,approved,yes,56,52,4,92.86,92.86,56,manual_seed,
Milk,big9,milk__milk_solids,Milk Solids Nonfat,milk solids nonfat,manual_seed,approved,approved,yes,90,47,43,52.22,52.22,90,manual_seed,
Milk,big9,milk__curds,Curds,curds,workbook_existing,approved,approved,yes,69,43,26,62.32,62.32,69,Allergen-Ingredient Map:7,
Milk,big9,milk__tagatose,Tagatose,tagatose,workbook_existing,approved,approved,yes,46,27,19,58.70,58.70,46,Allergen-Ingredient Map:25,
Milk,big9,milk__curds,curd,curd,rule_variant,generated,generated,yes,25,17,8,68.00,68.00,25,rule_from_alias:19,
Milk,big9,milk__nougat,Nougat,nougat,workbook_existing,approved,approved,yes,20,14,6,70.00,70.00,20,Allergen-Ingredient Map:19,
Milk,big9,milk__milk,solid,solid,rule_variant,generated,generated,yes,71,12,59,16.90,16.90,71,rule_from_alias:60,
Milk,big9,milk__milk,goat's,goat s,workbook_parenthetical,approved,approved,yes,25,12,13,48.00,48.00,26,Allergen-Ingredient Map:17,
Milk,big9,milk__milk,Milk low-fat,milk low fat,workbook_parenthetical,approved,approved,yes,12,12,0,100.00,100.00,12,Allergen-Ingredient Map:17,
Milk,big9,milk__custard,Custard,custard,workbook_existing,approved,approved,yes,11,11,0,100.00,100.00,11,Allergen-Ingredient Map:8,
Milk,big9,milk__ghee,Ghee,ghee,workbook_existing,approved,approved,yes,15,10,5,66.67,66.67,15,Allergen-Ingredient Map:10,
Milk,big9,milk__milk,Milk skimmed,milk skimmed,workbook_parenthetical,approved,approved,yes,39,9,30,23.08,23.08,39,Allergen-Ingredient Map:17,
Milk,big9,milk__milk,Milk evaporated,milk evaporated,workbook_parenthetical,approved,approved,yes,9,5,4,55.56,55.56,9,Allergen-Ingredient Map:17,
Milk,big9,milk__milk,wholes,wholes,rule_variant,generated,generated,yes,4,4,0,100.00,100.00,4,rule_from_alias:61,
Milk,big9,milk__milk,Milk malted,milk malted,workbook_parenthetical,approved,approved,yes,6,2,4,33.33,33.33,6,Allergen-Ingredient Map:17,
Milk,big9,milk__hydrolysates,Hydrolysates,hydrolysates,workbook_existing,approved,approved,yes,102,0,102,0.00,0.00,106,Allergen-Ingredient Map:12,
Milk,big9,milk__whey,isolates,isolates,rule_variant,generated,generated,yes,15,0,15,0.00,0.00,15,rule_from_alias:74,
Milk,big9,milk__caseinates,all forms,all forms,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:4,
